module, Data Produk,,,, Data Stock,,,, Data Ekspedisi,,,, Requisisi Barang,,,, Bon Terima Barang,,,, Bon Keluar Barang,,,, Surat Penyerahan Barang,,,, Retur Barang,,,, Report Outstanding,,,, Report Terima Barang,,,, Report Keluar Barang,,,, Report Stock Barang,,,
endpoint,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D,C,R,U,D
branch_mgr,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,
boc_mgr,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,
gen_mgr,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,
log_mgr,y,y,y,,,y,,,y,y,y,,y,y,y,,y,y,y,,y,y,y,,y,y,y,,y,y,y,,,y,,,,y,,,,y,,,,y,,
log_staff,y,y,y,,,y,,,y,y,y,,y,y,y,,y,y,y,,y,y,y,,y,y,y,,y,y,y,,,y,,,,y,,,,y,,,,y,,
fna_head,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,,,y,,
fna_staff,,y,,,,y,,,,y,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,
acc_mgr,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acc_spv,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acc_staff,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fin_mgr,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fin_staff,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_staff,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkt_mgr,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkt_staff,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sales_spv,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sales,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech_head,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech_mgr,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technician,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,,y,,,,y,,,,y,,,,y,,
